0,"57.193425,57.193425,37.950817,37.950817,37.115902,37.115902,37.115817,37.115817,37.115817,37.115817,37.115817,37.115817,37.115817,36.637781,36.637781,36.637781,36.637781,36.514587,36.514587,34.574162,34.574162,34.574162,34.574162,34.574162,34.574162"
3,"55.610368,55.610368,55.610368,55.610368,55.610368,55.610368,55.610368,51.594717,51.594717,51.493237,45.024348,45.024348,45.024348,43.335387,43.335387,42.583790,42.583790,42.583790,42.583790,42.583790,42.195243,42.195243,42.195243,38.608826,38.608826"
1,"57.193425,57.193425,37.950817,37.950817,37.115902,37.115902,37.115817,37.115817,37.115817,37.115817,37.115817,37.115817,37.115817,36.637781,36.637781,36.637781,36.637781,36.514587,36.514587,34.574162,34.574162,34.574162,34.574162,34.574162,34.574162"
2,"53.700743,49.715125,49.715125,46.432219,46.432219,46.432219,42.776662,39.706301,39.706301,39.706301,39.706301,39.706301,39.706301,39.706301,39.706301,39.706301,39.706301,38.687032,38.687032,33.728183,33.728183,33.728183,33.728183,33.728183,33.728183"
7,"66.137930,52.964351,52.964351,52.964351,52.964351,44.180987,43.147524,43.147524,43.147524,43.147524,43.147524,43.147524,43.147524,43.147524,43.147524,42.868936,42.868936,42.868936,41.038903,41.038903,41.038903,41.038903,41.038903,41.038903,33.936347"
6,"55.560235,53.503257,53.503257,53.503257,53.503257,53.503257,49.669219,41.601770,41.601770,41.601770,40.312562,40.312562,40.312562,40.312562,40.312562,40.312562,40.312562,40.312562,40.312562,39.733027,32.681419,32.681419,32.681419,31.743388,31.666133"
5,"58.253249,58.253249,58.253249,51.309055,51.309055,51.309055,51.041261,51.041261,51.041261,49.727609,49.727609,41.867419,41.867419,41.867419,41.867419,41.867419,41.867419,41.867419,34.636755,34.636755,34.636755,34.636755,34.636755,34.636755,34.636755"
4,"72.645632,63.009877,57.312199,57.312199,57.312199,57.312199,52.841707,41.814533,41.814533,41.814533,41.814533,41.814533,41.814533,41.814533,41.814533,41.814533,34.734346,34.734346,34.734346,34.734346,34.734346,34.734346,34.734346,34.734346,34.734346"
10,"44.210647,44.210647,44.210647,43.732987,43.732987,43.732987,43.732987,43.732987,43.529244,43.529244,43.529244,43.529244,43.529244,32.746772,32.746772,32.746772,32.746772,32.746772,32.746772,32.746772,32.746772,31.186572,31.186572,31.186572,31.186572"
11,"46.824933,46.824933,46.824933,46.824933,46.824933,46.824933,46.824933,46.110060,37.805944,37.805944,37.805944,37.805944,37.805944,37.805944,35.481446,35.481446,35.481446,35.481446,35.481446,34.113958,34.113958,34.113958,34.113958,34.113958,34.113958"
8,"54.193423,54.126580,54.126580,54.126580,49.330703,49.330703,49.330703,49.330703,46.730572,46.730572,44.993292,44.993292,42.722709,42.722709,42.722709,42.722709,42.718681,42.718681,35.370827,35.370827,35.370827,35.370827,35.370827,34.525792,34.525792"
9,"65.021045,60.356847,50.233803,50.233803,47.955201,47.955201,47.955201,47.955201,47.955201,44.382121,43.901122,43.901122,43.901122,43.901122,43.703963,43.703963,43.703963,43.698897,43.698897,43.698897,43.698897,41.125695,41.125695,39.570926,39.570926"
15,"62.862052,62.862052,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,48.256289,45.193075,45.193075,45.193075,45.193075,45.193075,45.193075,45.193075"
13,"57.683289,57.683289,50.534661,50.534661,50.534661,50.534661,50.534661,50.534661,50.534661,50.534661,50.359960,50.359960,50.359960,39.918587,39.918587,39.918587,39.918587,37.098948,37.098948,37.098948,37.098948,37.098948,37.098948,37.098948,37.098948"
14,"44.698559,44.698559,44.698559,44.698559,44.698559,44.698559,44.698559,44.698559,44.698559,44.698559,44.698559,44.698559,44.118429,44.118429,44.118429,44.118429,44.118429,42.243549,42.243549,42.243549,38.652537,38.652537,38.652537,38.652537,38.652537"
12,"60.720773,60.720773,55.763293,55.763293,51.358254,51.358254,51.358254,51.358254,51.358254,42.799530,38.292415,38.292415,38.292415,38.292415,38.292415,38.292415,38.292415,37.208680,37.208680,37.208680,37.208680,37.208680,37.208680,37.208680,37.208680"
18,"58.724102,35.146495,35.146495,35.146495,35.146495,35.146495,35.146495,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257,33.695257"
17,"51.217768,51.217768,51.217768,40.486506,40.486506,40.486506,40.486506,40.486506,40.486506,40.486506,40.486506,40.486506,40.486506,40.486506,40.486506,40.486506,40.486506,37.841280,37.841280,37.841280,37.841280,37.841280,37.841280,37.841280,37.841280"
19,"59.446252,55.650460,55.650460,53.638999,49.125596,46.014629,46.014629,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201,43.825201"
16,"67.659155,67.659155,67.659155,61.416483,61.416483,48.966217,48.966217,48.966217,48.966217,48.966217,48.966217,48.966217,47.656865,47.656865,47.345714,41.106628,41.106628,41.106628,41.030255,41.030255,41.030254,41.030254,41.030254,40.450885,35.400488"
22,"44.819267,42.409789,41.922425,41.922425,41.922425,40.613626,40.613626,40.613626,40.613626,40.613626,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659,34.932659"
23,"61.770663,61.055843,61.055843,61.055843,61.055843,46.650063,46.650063,46.588766,46.588766,46.588766,46.400280,46.400280,45.922465,45.922465,40.584837,40.584837,40.584837,40.584837,40.584837,40.584837,40.584837,40.584837,40.584837,40.584837,40.584837"
20,"54.006803,54.006803,54.006803,51.451193,51.451193,51.451193,51.058417,51.058417,51.058417,48.701584,48.167441,36.978815,36.978815,36.978815,36.978815,36.978815,36.978815,36.978815,36.978815,36.978815,36.978815,36.978815,36.432720,36.432720,36.432720"
21,"61.439762,61.439762,61.439762,59.614728,59.614728,59.614728,59.614728,59.614728,49.532034,49.532034,49.532034,49.532034,49.532034,49.532034,49.532034,49.532034,49.532034,49.532034,49.532034,45.410697,45.410697,45.410697,38.910295,38.732887,38.732887"
25,"61.144402,54.593377,54.593377,54.593377,52.134096,52.134096,52.134096,52.134096,52.134096,47.176986,46.016461,46.016461,46.016461,46.016461,46.016461,46.016461,46.016461,46.016461,46.016461,42.837009,42.837009,37.529308,37.529308,37.529308,37.529308"
27,"73.115538,73.115538,57.431854,35.334619,35.334619,35.334619,35.334619,35.334619,35.334619,35.334619,34.850156,34.850156,34.850156,34.850156,34.850156,34.850156,34.850156,34.850156,34.850156,34.850156,34.483182,34.483182,34.483182,34.483182,34.483182"
24,"54.231684,54.231684,51.729135,49.835563,47.085296,47.085296,47.085296,47.085296,47.085296,38.416769,38.416769,38.416769,38.416769,38.416769,38.416769,38.416769,38.416769,38.416769,34.913353,34.913353,34.913353,34.913353,34.913353,34.913353,34.913353"
26,"58.871004,58.871004,58.871004,53.684848,53.684848,34.046769,34.046769,34.046769,34.046769,34.046769,34.046769,34.046769,34.046769,34.046769,34.046769,34.046769,34.046769,34.046769,34.046769,33.314369,33.314369,31.120121,31.120121,31.120121,31.120121"
28,"38.563747,38.563747,38.563747,38.563747,38.563747,35.029371,35.029371,35.029371,35.029371,35.029371,35.029371,35.029371,35.029371,35.029371,35.029371,34.409604,34.409604,34.409604,34.409604,34.409604,34.409604,34.409604,34.409604,34.297669,34.297669"
29,"60.400618,56.801775,56.801775,56.582545,56.582545,56.582545,50.129999,50.129999,47.135502,46.026402,46.026402,46.026402,45.955438,45.955438,45.955438,45.955438,45.955438,45.955438,45.955438,45.955438,45.955438,45.955438,45.955438,45.955438,44.661287"
