seed,evalTrain,evalTest,time,numEvals,tau0,tau1,tau2,tau3,tau4,k0,k1,k2,k3,k4,k5,k6,k7,n0,n1,n2,n3,n4,n5,n6,n7,x
2,11.274345,6.320683,80,1050012,1.045245767329847,3.129488420163342,2.095200721858535,4.056208984940715,2.933942676502333,0.740758807662301,0.744484477909286,0.838534791863601,0.999999995167864,0.738552218976598,0.882404388355813,0.355117992830977,0.372429034755859,11.088277596240102,25.000000000000000,3.256709770865991,1.000099718112014,2.150760818772926,6.025680389070586,25.000000000000000,4.927024857097147,11.274344895803832
0,11.441936,6.437561,82,1050014,0.967130819048280,3.155770792798632,2.102334239432749,3.866290381143208,3.031211690447900,0.724178815011291,0.723984412164334,0.835754409405837,0.999999999937881,0.760004357736930,0.891257995135778,0.100050697300459,0.396054582054362,10.009022429644140,25.000000000000000,3.107746797419564,1.179904011111337,2.390126344704454,5.949526853959085,17.685094349186410,4.029315777229917,11.441935834712181
1,11.441936,6.437561,83,1050014,0.967130819048280,3.155770792798632,2.102334239432749,3.866290381143208,3.031211690447900,0.724178815011291,0.723984412164334,0.835754409405837,0.999999999937881,0.760004357736930,0.891257995135778,0.100050697300459,0.396054582054362,10.009022429644140,25.000000000000000,3.107746797419564,1.179904011111337,2.390126344704454,5.949526853959085,17.685094349186410,4.029315777229917,11.441935834712181
3,10.707339,6.675879,93,1050009,1.283719280274191,3.557943166285315,0.935377328719594,2.306140188197037,2.377225560109797,0.779713496088406,0.767194755994895,0.893187378162273,0.929160456555359,0.999948213644379,0.535343666660118,0.253217581182484,0.387279358956076,15.420771482990451,24.999999549242939,1.916913594616996,3.118854293731065,15.625201327286211,3.287165784628727,25.000000000000000,5.497970418033512,10.707338717652179
6,11.098335,5.136772,81,1050013,1.330381685272393,3.604545123961684,2.677923144589306,4.281940465190213,2.180426657547117,0.748276670773465,0.689873192309630,0.647931958828112,0.999999999898087,0.614992547023523,0.903475866152850,0.255232495734604,0.368051663938007,14.460568403839461,22.580237114374256,3.240958789684680,2.109293817231963,3.591716151847546,6.292423101517454,17.647568833344628,3.053777080009341,11.098335160369716
4,10.662319,4.775365,86,1050011,1.322355719038872,3.773733734788268,4.441385450197875,3.639352437492488,2.168100554800859,0.738595819888236,0.654656661539053,0.391301950075870,0.997325305556148,0.684805602580989,0.829494890248370,0.259180236182284,0.372988983038593,14.683816586176867,15.536699902212729,5.407434999752759,23.541340055566742,2.671971925422502,9.399032080387765,9.315993572168530,3.849577694705948,10.662318655050315
7,11.321737,4.749584,87,1050013,1.423495234054990,3.780413950736575,3.032150280117769,3.430494477169823,3.275973237738984,0.725229274205838,0.626057690257651,0.551947657334148,0.999999999981966,0.707444108006608,0.840184502570641,0.455195122885785,0.151653790199060,17.691089658045818,15.599103031801289,3.626425947910452,3.196744070336965,2.779653529246036,5.971886459838637,5.410928587843742,14.680941288154928,11.321737497916766
5,10.764715,5.650187,93,1050009,1.548428454543180,3.773533509428832,2.924483241507761,3.517510775681541,1.796378608242801,0.744948596061457,0.654253186801159,0.571501432990412,0.999992907578419,0.679818566169532,0.857501090876000,0.238463417832260,0.377792115424067,19.881932128623915,17.603469691631314,3.803416747261086,3.433401343932182,2.993247072861688,7.805315759167125,23.301613089382101,3.262364839604396,10.764714735123353
9,11.026010,5.534683,81,1050015,1.447187666668804,3.759093762906831,2.338319443477231,4.299052777405546,3.563223074825501,0.710538310056626,0.595240583609903,0.555039051416779,0.999999997736889,0.610112412294408,0.868798738426423,0.510734953175745,0.102915608449027,18.369406456445315,9.299741814491753,2.355785941855914,3.782564376017401,3.741145916939888,7.659762855859298,6.805302650235690,18.255179906533847,11.026009918331574
11,11.257760,5.690010,83,1050010,1.361331582439300,3.655926958826742,4.999885542205643,3.141158015492179,2.233557216188901,0.764127984369318,0.681632738849939,0.479739160751619,0.999798113046326,0.722315454331780,0.836933775637099,0.250837258712193,0.376938549793127,15.429834311564832,14.771928194684225,13.809167456925017,15.339402892718938,2.538137550224591,6.932142053874106,14.433328363589652,4.521224061114312,11.257759725815811
8,11.450998,6.474887,85,1050016,0.993139613828140,3.092539960487642,2.112466250957251,3.914362199941244,2.960199985521860,0.758747172826612,0.761837222511412,0.840460707767989,0.999999998835199,0.754615685997125,0.878384692499213,0.100121716004896,0.377063209406803,11.898437052145666,25.000000000000000,3.001036619743048,1.753823092668685,2.456195225526546,6.850473425938305,12.125131332611644,5.008443045984628,11.450998064293640
10,10.649097,5.030156,86,1050022,1.342670774215648,3.774644838595828,4.865044146000552,3.523624483185643,2.090348575272704,0.732841081409379,0.658240811452573,0.405760200545118,0.999999730109317,0.680897421310922,0.836751285314721,0.280749975667265,0.371018025826895,11.445801548201542,18.818375129657916,7.860185997058926,24.986397848551870,2.999787709871882,11.941466169598596,14.055970619870310,3.814446294513693,10.649096919451885
12,11.096029,5.604527,82,1050015,1.373740390114342,3.769824245619755,4.352845390075645,3.313522293283019,2.400832508070571,0.766185748696749,0.665078648407832,0.404163014598661,0.999999993304297,0.681160201760894,0.847927157067589,0.277411900368204,0.396208321066005,16.063513189504622,11.215769663087614,5.399943833303129,20.455093011905102,2.613427393011079,9.563430433120688,22.065825488564442,6.607709324902550,11.096029312786420
14,11.348467,5.256001,83,1050011,1.591172385507818,3.726656486232350,3.123375753319518,3.619876885710587,3.456214746919361,0.731381656089548,0.590297941227900,0.501864067971279,1.000000000000000,0.687634206245781,0.843061005913151,0.494793048848580,0.105728379364564,24.740300149659155,9.133645009511138,3.185265569145030,4.198704420397819,2.915256609536930,6.721866820388088,10.281716460369032,10.524015352571611,11.348466996878022
13,11.323616,6.501955,84,1050008,1.046703487385964,3.101572017887446,2.074063816158663,4.073787924689625,2.933768993939517,0.740689985222322,0.747199994319363,0.842716695289039,0.999999999993679,0.742586940456915,0.871201783776755,0.355364744367528,0.367088539416482,11.020442930735246,25.000000000000000,3.734377171754677,1.000026888268020,2.438558469276391,7.229459959916721,24.155921275767081,4.788828869174230,11.323615709758334
15,10.785824,5.363310,88,1050015,1.371392375370953,3.567207001996141,2.639557557801574,3.833587904937854,1.915211621715699,0.746197835509869,0.689634231335482,0.654294352205220,0.999999997305793,0.700301131065834,0.866287042455329,0.251397187178602,0.388355876000442,16.165593054518993,21.146927788525903,3.387259650052393,2.808112072203562,2.991913576666359,5.876983978135495,23.653620903098833,3.288656372358434,10.785823920995847
18,11.066746,5.842941,83,1050017,1.577694323966185,3.721737885420119,3.024975941674536,3.458393191077997,1.788279020459516,0.762966253283103,0.615710781080861,0.550419798083561,0.999999999991585,0.670610430619942,0.862644368073743,0.117676277262256,0.408094680465678,18.604097108350241,8.794221441902315,3.151670575991806,3.432424267317897,2.624130011202764,7.905110666011117,10.753719747530645,4.305713088257222,11.066745662021784
19,11.272042,4.811644,84,1050012,1.419216653835496,3.764137947462113,2.903353769928474,3.387768474587760,3.400065497426078,0.720943420110172,0.624082168385630,0.559432259757175,0.999999999894562,0.710294624584804,0.844843567233296,0.450736553143717,0.130771179592642,17.226287996281477,12.441194173138759,3.129577401302673,3.358057573508188,2.168240667249065,5.774521197375718,5.083551516795100,23.824576198972110,11.272041862365570
16,11.180958,5.101645,87,1050009,1.510292823966538,3.759518558008869,3.216779959380316,3.626677733800705,3.199083045853170,0.727197207856743,0.600830252110386,0.504761365696678,0.999999999935328,0.682183641687892,0.847427356177589,0.487055070065914,0.136436850830106,19.517217849091306,12.521917345759083,3.029883953821014,4.028047316573352,2.500763461194980,6.812095530252223,6.119474622888063,20.349655280633349,11.180957879918466
17,11.156144,5.099908,93,1050012,1.551973529319192,3.772216847883980,3.228976260528905,3.591735890823731,3.121121640396646,0.729054080324569,0.597277718764821,0.501467386328702,0.999999999992794,0.683387256772264,0.847017083506290,0.491976469864982,0.148559530392916,21.999950357939653,11.183282836645670,3.439610683365156,4.461585803130228,2.655751886654351,6.279500754759963,6.285259523569405,22.981724548191674,11.156143982322308
23,11.253574,6.277494,81,1050007,1.069221278341072,3.123619319157327,2.079822309422675,4.085504126538439,2.897099673882419,0.720224330676811,0.721174121726411,0.840291719990231,1.000000000000000,0.763580131862637,0.869118567598953,0.356042746066973,0.359971381187623,12.659496693214823,25.000000000000000,3.553788338635443,1.917962391054664,2.416225896934879,6.628849664722626,25.000000000000000,3.247545861813719,11.253574054948696
21,11.162958,5.291256,83,1050013,1.440718148998642,3.656475050284961,4.503314563163339,2.516975270389889,1.825284601535803,0.754527923336938,0.626624965244796,0.460887162489943,1.000000000000000,0.983774371105349,0.817049196728230,0.255448233165493,0.405678134680744,12.228636446490050,11.972071925570826,5.780547528832049,8.708500001897581,1.972414145569816,6.993028190387939,24.161905848312951,4.230141500490298,11.162957862638346
20,11.474671,6.027558,84,1050012,1.041846357092209,3.243637417423703,2.202583255740688,3.916952522225500,2.864507869129918,0.738436551327039,0.730840370427596,0.819765613668814,0.999999998529296,0.736518963022861,0.878440606341935,0.102573867922942,0.380411947867014,11.702537671229645,24.078527880004227,3.070410672015763,1.512783533647727,2.195313018057401,6.383949345096781,9.206962694290290,4.380948351332093,11.474670586060705
22,11.354325,7.525283,84,1050016,0.984252131842785,2.904728663846563,2.102375482034632,3.693275949440184,3.067901603107854,0.743168646199853,0.780577602989397,0.849839761582914,0.999999999987059,0.814591017625280,0.879627433798746,0.334484846888198,0.365843778630633,9.166008478614777,25.000000000000000,4.228550438392447,1.999816869064150,2.888980495368192,5.986114904205313,22.001425906735946,5.041319666897690,11.354325207584656
25,11.161641,5.595036,81,1050012,1.573766299029875,3.711063657171444,3.089592167115234,3.945825792595715,1.774696720064770,0.742341821879126,0.610802830663331,0.546634714365226,0.999999999391889,0.616334200227584,0.861142139991363,0.144234261726157,0.398109986175895,21.019298873360593,9.035252563913861,3.395133031187119,3.526528742698149,3.370087264056880,8.982583950657401,5.251510853097292,3.336024805040443,11.161640562897630
27,10.462885,4.796674,83,1050015,1.313229077505790,3.761520587117922,4.308346566949079,3.666001642824298,2.131690273067823,0.742419129144322,0.672204837887281,0.400369048447596,0.999999950160433,0.687392655094029,0.836814000764427,0.271573822222382,0.371622363670029,13.302808849110869,19.423585743723574,5.810711648456646,23.725897968760431,2.733681117527110,9.570126101825074,22.000137900457549,3.658399240700504,10.462884871028045
24,11.451010,6.244402,83,1050010,0.996137026623904,3.161620341038258,2.145555374018487,3.860026551880829,2.993885749200643,0.740217897442708,0.737230899316879,0.831682214119353,0.999999992358428,0.743911595153351,0.881885976650688,0.143557400565655,0.377290511517113,11.677975268869303,25.000000000000000,3.684434975160917,1.900435133939000,2.669922616282752,6.575750253344669,24.865747562733243,4.043378907399558,11.451009829545688
26,11.102440,5.050271,84,1050015,1.389273056171361,3.749300755659304,4.052232745946207,3.608365803834408,2.181161676314936,0.754747731690243,0.654581321382998,0.389269780169501,0.988261046632042,0.689020312920660,0.824473932802859,0.164284718989727,0.386883608956501,14.307530608431848,10.469679029821755,4.110622056163630,21.465764966740124,2.350504978775885,9.651468797217143,11.290236069180689,4.734604646507685,11.102439743391421
29,11.028233,6.226098,86,1050009,1.486017504246523,3.742056495979420,2.255981605397361,3.575897575471908,4.072922291265340,0.706898973374122,0.607203614375909,0.565948696092645,0.999999999693921,0.694567949652649,0.856336649189595,0.508677630132243,0.111521373190040,20.526202354533719,10.003422378527561,2.016545859069695,3.136234635781907,2.000120349086998,6.998356873613196,12.043073069223321,12.068669822904984,11.028233416184509
28,11.385112,5.659972,91,1050010,1.601282986881670,3.638758770102481,3.550646502400057,2.530864220348490,1.755042416084587,0.761440681933992,0.623539984825799,0.556624192764625,0.999993703549237,0.999987916846554,0.828052946120772,0.168943293955192,0.410163150237678,18.360473856197518,8.519235401763886,4.481025605333690,3.047644199276851,1.552858614343802,5.846176783208477,5.499036196524238,4.040601289706994,11.385112373018996
